City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,colachel,8.1667,77.25,85.84,65,87,14.83,IN,1692675816
294,momil,9.2377,-75.6749,78.89,93,100,4.68,CO,1692675816
295,chonchi,-42.6128,-73.8092,42.01,92,96,5.37,CL,1692675816
296,sidlaghatta,13.3881,77.8628,75.29,59,100,6.71,IN,1692675816
297,haiku-pauwela,20.9219,-156.3051,80.62,65,40,23.02,US,1692675817
298,dzhetygara,52.1908,61.2006,68.7,51,85,4.72,KZ,1692675817
299,chigorodo,7.6664,-76.6811,75.07,96,100,4.7,CO,1692675817
300,udachny,66.4167,112.4,44.46,70,41,13.31,RU,1692675817
301,wahpeton,46.2652,-96.6059,73.42,78,100,9.22,US,1692675817
302,beira,-19.8436,34.8389,66.11,91,7,7.85,MZ,1692675817
303,isiro,2.7739,27.616,64.47,99,100,1.66,CD,1692675818
304,shimabara,32.7833,130.3667,91.71,68,8,3.51,JP,1692675818
305,keetmanshoop,-26.5833,18.1333,45.52,70,0,2.3,NA,1692675818
306,saint croix,17.7397,-64.7388,81.05,89,100,5.75,VI,1692675818
307,crete,35.1558,24.895,64.51,63,0,2.37,GR,1692675818
308,riberalta,-10.9833,-66.1,78.6,56,11,2.59,BO,1692675818
309,ulsteinvik,62.3432,5.8487,60.31,91,62,3.0,NO,1692675818
310,longyearbyen,78.2186,15.6401,42.64,87,75,3.44,SJ,1692675818
311,gwaram,11.2764,9.8858,73.09,84,36,4.14,NG,1692675819
312,ola,59.5833,151.2833,64.15,64,70,4.18,RU,1692675819
313,carnarvon,-24.8667,113.6333,73.13,39,0,16.35,AU,1692675819
314,tura,25.5198,90.2201,79.12,87,100,6.78,IN,1692675819
315,champasak,14.75,106.0,81.48,89,99,2.01,LA,1692675819
316,krasnogvardeyskoye,45.8456,41.5186,77.09,29,18,6.73,RU,1692675819
317,oyama,36.3,139.8,90.63,58,96,6.31,JP,1692675819
318,macae,-22.3708,-41.7869,67.98,83,15,4.43,BR,1692675820
319,zeya,53.75,127.2667,74.5,42,45,7.99,RU,1692675820
320,kerikeri,-35.2268,173.9474,60.91,73,6,3.0,NZ,1692675779
